,precision,recall,f1-score,support
0,0.25250000000000006,0.24,0.22165967365967365,10.0
1,0.22726105137395464,0.18461538461538463,0.18923056809615604,26.0
2,0.2106202783970479,0.2,0.1808768487818523,48.0
3,0.3100448359012873,0.4311827956989247,0.35425455373238685,93.0
4,0.27080844720732106,0.30869565217391304,0.24621741534523553,115.0
5,0.26349053721830595,0.33211678832116787,0.2773889038421248,137.0
6,0.23323208796523015,0.38110236220472443,0.25486416298311626,127.0
7,0.23000742778128652,0.1625,0.17077701425629255,88.0
8,0.24461422961422966,0.061224489795918366,0.07526197265375591,49.0
9,0.02142857142857143,0.006,0.009375,50.0
10,0.0,0.0,0.0,20.0
11,0.0,0.0,0.0,24.0
12,0.0,0.0,0.0,8.0
13,0.0,0.0,0.0,10.0
accuracy,0.2532919254658385,0.2532919254658385,0.2532919254658385,0.2532919254658385
macro avg,0.16171481906337387,0.1648169623435738,0.14142186523932815,805.0
weighted avg,0.22054355292448932,0.2532919254658385,0.2069991912425521,805.0
