,precision,recall,f1-score,support
0,0.0,0.0,0.0,10.0
1,0.00909090909090909,0.0058823529411764705,0.007142857142857143,17.0
2,0.08690617186471905,0.13571428571428573,0.09334545788555157,42.0
3,0.12423794619569269,0.1962025316455696,0.14726756013697356,79.0
4,0.15785173414851725,0.20707964601769913,0.16128863612439587,113.0
5,0.15933362083200864,0.3402877697841727,0.19559125166060554,139.0
6,0.14658943669294888,0.34728682170542635,0.1794255195730233,129.0
7,0.24999757077052723,0.2876288659793814,0.17937124126902398,97.0
8,0.025,0.002,0.0037037037037037034,50.0
9,0.0,0.0,0.0,47.0
10,0.0,0.0,0.0,24.0
11,0.0,0.0,0.0,29.0
12,0.0,0.0,0.0,18.0
13,0.0,0.0,0.0,11.0
accuracy,0.20472049689440994,0.20472049689440994,0.20472049689440994,0.20472049689440994
macro avg,0.06850052782823733,0.10872016241340796,0.06908115910686677,805.0
weighted avg,0.12175630232905163,0.20472049689440994,0.1264831832664895,805.0
