,precision,recall,f1-score,support
0,0.8022727272727274,0.24,0.35421245421245423,10.0
1,0.3991255030378301,0.5764705882352941,0.4574440494146376,17.0
2,0.2739754551685661,0.41190476190476194,0.306247895209787,42.0
3,0.3300698286222029,0.35822784810126584,0.3077816968735862,79.0
4,0.3302379822225353,0.25752212389380535,0.26588349134428124,113.0
5,0.31554642480362444,0.15323741007194244,0.15235674665189938,139.0
6,0.2523601061707171,0.15658914728682172,0.13711315018801232,129.0
7,0.23873514738128207,0.2731958762886598,0.22758242758721953,97.0
8,0.0641735341479587,0.054000000000000006,0.04406262654117897,50.0
9,0.049200530652143554,0.02127659574468085,0.028926778782130756,47.0
10,0.05238007972726265,0.1,0.058243808175408716,24.0
11,0.06771904566022213,0.06551724137931035,0.051622699360084054,29.0
12,0.05171701789542473,0.17777777777777776,0.05821398913054834,18.0
13,0.09346863929774088,0.3090909090909091,0.1251723605342026,11.0
accuracy,0.21055900621118012,0.21055900621118012,0.21055900621118012,0.21055900621118012
macro avg,0.23721300157573127,0.22534359141251636,0.1839188695718165,805.0
weighted avg,0.24842371636460067,0.21055900621118012,0.18430273362537497,805.0
