,precision,recall,f1-score,support
0,0.2,0.04,0.06666666666666668,10.0
1,0.05123954238014496,0.2588235294117647,0.07939438235157248,17.0
2,0.06756756756756757,0.09761904761904763,0.03824110671936759,42.0
3,0.10412774417547366,0.22025316455696203,0.13549469987441914,79.0
4,0.07038270261040319,0.0663716814159292,0.052403562227259705,113.0
5,0.07407407407407407,0.01870503597122302,0.026124693694787156,139.0
6,0.0422946056638779,0.056589147286821705,0.04651199479593629,129.0
7,0.08071499364500034,0.12474226804123714,0.06232010964788599,97.0
8,0.02412368628880384,0.030000000000000006,0.02090007356937843,50.0
9,0.0075061961524843625,0.02553191489361702,0.010351966873706004,47.0
10,0.013723873026198607,0.16666666666666666,0.022638660244294045,24.0
11,0.029793496068238105,0.15172413793103448,0.03824838891376954,29.0
12,0.043685566754873686,0.13333333333333336,0.034775167708404886,18.0
13,0.009641631877849704,0.20909090909090908,0.018402083465376348,11.0
accuracy,0.08894409937888198,0.08894409937888198,0.08894409937888198,0.08894409937888198
macro avg,0.058491120020356425,0.11424648830132471,0.04660525405377317,805.0
weighted avg,0.061012000097016836,0.08894409937888198,0.0496112609210911,805.0
