,precision,recall,f1-score,support
0,0.9931584948688712,0.8887755102040817,0.9380721593968764,980.0
1,0.9952561669829223,0.9242290748898678,0.9584285061671997,1135.0
2,0.9519321394910462,0.9786821705426354,0.965121834687052,1032.0
3,0.9554263565891473,0.9762376237623762,0.9657198824681685,1010.0
4,0.9734693877551022,0.9714867617107943,0.9724770642201832,982.0
5,0.9471365638766522,0.9641255605381167,0.9555555555555557,892.0
6,0.9173151750972762,0.9843423799582462,0.9496475327291038,958.0
7,0.9735812133072408,0.9678988326848248,0.9707317073170734,1028.0
8,0.9060077519379846,0.959958932238193,0.9322033898305084,974.0
9,0.9632206759443342,0.9603567888999007,0.9617866004962778,1009.0
accuracy,0.9572,0.9572,0.9572,0.9572
macro avg,0.9576503925850577,0.9576093635429037,0.9569744232868,10000.0
weighted avg,0.958504905379886,0.9572,0.9571921231090468,10000.0
