,precision,recall,f1-score,support
0,0.9939954891492583,0.8763265306122449,0.9313316027852426,980.0
1,0.9974435904675545,0.9103083700440529,0.9515937785122363,1135.0
2,0.9482957577616536,0.973546511627907,0.9605689398955037,1032.0
3,0.9515983765125486,0.9761386138613861,0.9636612818283405,1010.0
4,0.9638649275424118,0.9723014256619145,0.9680260052187695,982.0
5,0.9507702073292496,0.963116591928251,0.9568588788924905,892.0
6,0.93738820326427,0.9792275574112734,0.9576804357870591,958.0
7,0.9556248749580434,0.9698443579766536,0.9625844897920983,1028.0
8,0.8948594165966831,0.9660164271047227,0.9288000768176807,974.0
9,0.9580313968945149,0.9606541129831516,0.9593220662983379,1009.0
accuracy,0.95418,0.95418,0.95418,0.95418
macro avg,0.9551872240476188,0.9547480499211559,0.9540427555827758,10000.0
weighted avg,0.9559219042034762,0.95418,0.9541090559762369,10000.0
