,precision,recall,f1-score,support
0,0.9924337939888656,0.9223469387755102,0.9560561421292408,980.0
1,0.9961692697685842,0.9370925110132159,0.965641090673263,1135.0
2,0.959189280774748,0.9747093023255815,0.9668454386715064,1032.0
3,0.9537412231482764,0.9698019801980198,0.9616234887299857,1010.0
4,0.9641080849249442,0.9698574338085539,0.9669269853764746,982.0
5,0.9449075055682579,0.9628923766816143,0.9536757817882824,892.0
6,0.9538879926052845,0.9774530271398746,0.965485868329214,958.0
7,0.9628122126845213,0.9689688715953306,0.9657956706092777,1028.0
8,0.9225451725797447,0.9626283367556467,0.9419732856985409,974.0
9,0.9531568639602351,0.9582755203171457,0.9556406882833863,1009.0
accuracy,0.9601199999999999,0.9601199999999999,0.9601199999999999,0.9601199999999999
macro avg,0.9602951400003462,0.9604026298610492,0.9599664440289171,10000.0
weighted avg,0.9609900772183011,0.9601199999999999,0.9601659816515976,10000.0
