,precision,recall,f1-score,support
0,0.938052960004452,0.96,0.9487127709899312,980.0
1,0.9684143673146444,0.9659911894273128,0.9671012202296028,1135.0
2,0.9210749647236316,0.8741279069767443,0.896310714924598,1032.0
3,0.8914998876217396,0.8846534653465348,0.8877973231572733,1010.0
4,0.8869772042052144,0.9205702647657841,0.9026547782719895,982.0
5,0.8779937309069892,0.86804932735426,0.8726186035466122,892.0
6,0.9053202474161128,0.9448851774530272,0.9242252679951459,958.0
7,0.9312635168457485,0.8950389105058365,0.9123906616997596,1028.0
8,0.8818787345052683,0.8325462012320328,0.8548810191601117,974.0
9,0.8559276557715247,0.8965312190287416,0.8735644898146301,1009.0
accuracy,0.9051899999999999,0.9051899999999999,0.9051899999999999,0.9051899999999999
macro avg,0.9058403269315326,0.9042393662090273,0.9040256849789653,10000.0
weighted avg,0.907080506472145,0.9051899999999999,0.9051275231200048,10000.0
