,precision,recall,f1-score,support
0,0.9852766701582496,0.9640449438202247,0.9744412947719795,178.0
1,0.9180262613859694,0.729120879120879,0.8106234419424478,182.0
2,0.9198416039648855,0.9525423728813559,0.934878272367514,177.0
3,0.9552973575261714,0.8994535519125681,0.9261160408025042,183.0
4,0.906844663996494,0.9679558011049725,0.935995957008817,181.0
5,0.8829913213216882,0.9697802197802197,0.9239310194476176,182.0
6,0.9722282425187612,0.967403314917127,0.9695216306715981,181.0
7,0.9564470146899561,0.8899441340782124,0.9212649134212414,179.0
8,0.7539231751844813,0.8442528735632184,0.7947856885188604,174.0
9,0.8572899846286708,0.8800000000000001,0.8663284043632034,180.0
accuracy,0.9064552031163048,0.9064552031163048,0.9064552031163048,0.9064552031163048
macro avg,0.9108166295375326,0.9064498091178776,0.9057886663315784,1797.0
weighted avg,0.9113004279877905,0.9064552031163048,0.9060261978734159,1797.0
