,precision,recall,f1-score,support
0,0.9810673996480668,0.9314606741573034,0.9549379821405048,178.0
1,0.9133263891124545,0.506043956043956,0.6416781527354753,182.0
2,0.9091803244894769,0.9429378531073447,0.9248671524502529,177.0
3,0.9073872893313106,0.9087431693989071,0.907033986853064,183.0
4,0.9044403400836949,0.9707182320441989,0.9354368280797601,181.0
5,0.901738767331669,0.9686813186813186,0.9336194379850818,182.0
6,0.9273486031879719,0.9662983425414365,0.9457995371207476,181.0
7,0.9424833197511336,0.8882681564245811,0.9138204571335009,179.0
8,0.7078606192759203,0.8689655172413792,0.7772019597205003,174.0
9,0.82790179659745,0.89,0.8551416488493679,180.0
accuracy,0.8839176405119644,0.8839176405119644,0.8839176405119644,0.8839176405119644
macro avg,0.8922734848809147,0.8842117219640425,0.8789537143068256,1797.0
weighted avg,0.892819716806694,0.8839176405119644,0.8790251027392312,1797.0
