,precision,recall,f1-score,support
0,0.9937753919611934,0.9831460674157302,0.9884154841884335,178.0
1,0.9595290239661297,0.9423076923076923,0.9504407545920864,182.0
2,0.9721958298815382,0.9774011299435028,0.9746568621135172,177.0
3,0.9832970334653197,0.9278688524590166,0.9546614852168037,183.0
4,0.9667915844874816,0.9806629834254142,0.9736575090000311,181.0
5,0.9235559642288289,0.9835164835164836,0.9524661222909039,182.0
6,0.9867760590704803,0.9867403314917127,0.9867447209709294,181.0
7,0.9887335441375276,0.923463687150838,0.9549205452744101,179.0
8,0.9186536052885206,0.9120689655172413,0.9149133723824321,174.0
9,0.8960269480313737,0.9588888888888889,0.926267902983429,180.0
accuracy,0.9577072899276571,0.9577072899276571,0.9577072899276571,0.9577072899276571
macro avg,0.9589334984518395,0.9576065082116522,0.9577144759012975,1797.0
weighted avg,0.9590123163518193,0.9577072899276571,0.9578024789802095,1797.0
