,precision,recall,f1-score,support
0,0.9882423482764254,0.9848314606741573,0.9864990315779354,178.0
1,0.8993790083912533,0.9131868131868133,0.9056861396493023,182.0
2,0.9712809817769701,0.967231638418079,0.9691161480361254,177.0
3,0.9746044669889707,0.9158469945355192,0.9441378947979056,183.0
4,0.9346982622291435,0.9707182320441989,0.9521615831811117,181.0
5,0.9204226425527118,0.9747252747252748,0.9467095587902499,182.0
6,0.9833149132836112,0.9707182320441989,0.9769348483024102,181.0
7,0.9835026774640042,0.894413407821229,0.9367052480743642,179.0
8,0.8734905769697464,0.8718390804597702,0.8718793162670613,174.0
9,0.8645344727291333,0.9116666666666667,0.8870528727483984,180.0
accuracy,0.9376739009460211,0.9376739009460211,0.9376739009460211,0.9376739009460211
macro avg,0.939347035066197,0.9375177800575909,0.9376882641424864,1797.0
weighted avg,0.9394498159245164,0.9376739009460211,0.9378168332311025,1797.0
